user_id,location,language,account_created,follower_count,follower_count_imputed
user_00evmn72,"Johannesburg, South Africa",hi,2023-03-28,28265,False
user_01hav2yk,"Barcelona, Spain",es,2023-11-20,14971,False
user_01mu2x1s,"Toronto, Canada",es,2023-11-02,25887,False
user_0281t7ll,"Houston, USA",de,2023-07-30,20201,False
user_02sm9ly7,"Seoul, South Korea",ru,2023-10-12,48317,False
user_04aagjp1,"Rio de Janeiro, Brazil",de,2023-10-31,19180,False
user_056jjlrt,Singapore,ja,2023-01-16,41352,False
user_057ka83m,"London, UK",zh,2023-02-11,17153,False
user_06v0exkg,"Barcelona, Spain",zh,2023-05-20,552,False
user_084pfdpp,"Melbourne, Australia",ar,2023-02-11,33781,False
user_086yixlz,"Paris, France",ar,2023-04-29,36105,False
user_096zrz0x,"Beijing, China",ru,2023-09-30,44273,False
user_0aacyvtz,"Rome, Italy",ru,2023-01-19,1452,False
user_0bjcdj9t,"Osaka, Japan",pt,2023-07-31,40001,False
user_0c5vu9wm,"Lagos, Nigeria",ru,2023-09-27,43214,False
user_0digod7y,"Cairo, Egypt",ar,2023-07-31,27536,False
user_0e2how9t,"Melbourne, Australia",hi,2023-09-03,23563,False
user_0eufcipi,"Beijing, China",pt,2023-08-18,27089,False
user_0fraxbyo,"Melbourne, Australia",es,2023-11-30,15607,False
user_0irp4abu,"Toronto, Canada",hi,2023-12-14,44206,False
user_0j0vawcx,"Houston, USA",ja,2023-08-20,16446,False
user_0j9a7ict,"Beijing, China",de,2023-12-01,23031,False
user_0jp66e6p,"São Paulo, Brazil",es,2023-06-21,21437,False
user_0lbnqegj,"Osaka, Japan",ru,2023-03-30,6358,False
user_0nzzm3ff,"Munich, Germany",es,2023-01-25,16757,False
user_0o5ujsl6,"Tokyo, Japan",en,2023-04-17,48064,False
user_0osqp2dw,"New York, USA",hi,2023-03-20,6432,False
user_0ovhak73,"New York, USA",hi,2023-12-15,32045,False
user_0q1hamqb,"Sydney, Australia",ru,2023-06-03,14670,False
user_0q7j2ayv,"Rio de Janeiro, Brazil",pt,2023-01-17,23427,False
user_0riqrfz9,"Dubai, UAE",fr,2023-05-01,12825,False
user_0rnh8g2o,"Beijing, China",ru,2023-08-31,41241,False
user_0snf4coc,"São Paulo, Brazil",de,2023-07-27,42927,False
user_0tn4l0qh,"Dubai, UAE",de,2023-08-22,26141,False
user_0v6j8dal,"Chicago, USA",ru,2023-10-12,33723,False
user_0x2s6pho,"Shanghai, China",ja,2023-05-28,26993,False
